customer_id,customer_name,gender,age,state_id,city,phone_number
1,Rohan Shah,Male,30,1,Mumbai,9876543210
2,Priya Sharma,Female,25,2,Bengaluru,9876543211
3,Amit Verma,Male,40,3,Kolkata,9876543212
4,Neha Gupta,Female,35,4,Lucknow,9876543213
5,Rahul Singh,Male,28,5,Guwahati,9876543214
6,Anjali Mehta,Female,32,6,Bhopal,9876543215
3036,Customer 1,Male,61,1,Guwahati,9203711230
3037,Customer 2,Female,47,6,Bhopal,9665308471
3038,Customer 3,Others,75,3,Kolkata,9068444404
3039,Customer 4,Female,56,4,Lucknow,9233196097
3040,Customer 5,Male,55,4,Lucknow,9513262789
3041,Customer 6,Female,47,5,Lucknow,9445460012
3042,Customer 7,Female,64,3,Bengaluru,9041794645
3043,Customer 8,Others,35,6,Bengaluru,9688745868
3044,Customer 9,Others,35,5,Bengaluru,9631322952
3045,Customer 10,Others,28,3,Lucknow,9185456182
3046,Customer 11,Female,21,5,Mumbai,9754877138
3047,Customer 12,Female,45,2,Bhopal,9134594493
3048,Customer 13,Female,45,3,Lucknow,9924157981
3049,Customer 14,Others,38,5,Mumbai,9377091441
3050,Customer 15,Female,32,3,Bengaluru,9197853306
3051,Customer 16,Male,39,6,Bhopal,9388470255
3052,Customer 17,Others,36,1,Bengaluru,9674743038
3053,Customer 18,Others,53,5,Bhopal,9823139926
3054,Customer 19,Male,27,4,Mumbai,9982664985
3055,Customer 20,Others,35,2,Kolkata,9375009307
3056,Customer 21,Female,71,3,Bengaluru,9059278215
3057,Customer 22,Others,27,6,Kolkata,9597008742
3058,Customer 23,Others,63,1,Bhopal,9385409390
3059,Customer 24,Male,32,1,Bengaluru,9378760684
3060,Customer 25,Male,41,2,Bengaluru,9349919124
3061,Customer 26,Male,18,4,Bengaluru,9994664763
3062,Customer 27,Male,26,5,Kolkata,9402558452
3063,Customer 28,Others,70,2,Kolkata,9134530563
3064,Customer 29,Female,29,1,Mumbai,9133209981
3065,Customer 30,Others,30,2,Lucknow,9317230149
3066,Customer 31,Female,28,1,Kolkata,9551484582
3067,Customer 32,Others,36,2,Guwahati,9864538398
3068,Customer 33,Male,26,4,Bengaluru,9817761143
3069,Customer 34,Others,20,4,Bengaluru,9876005022
3070,Customer 35,Female,47,1,Bengaluru,9325300430
3071,Customer 36,Female,56,5,Guwahati,9307593052
3072,Customer 37,Others,67,1,Lucknow,9020820791
3073,Customer 38,Female,41,5,Guwahati,9502645238
3074,Customer 39,Others,31,2,Kolkata,9416341750
3075,Customer 40,Male,53,4,Guwahati,9460517181
3076,Customer 41,Others,66,3,Guwahati,9686659440
3077,Customer 42,Female,55,5,Guwahati,9771509648
3078,Customer 43,Female,53,2,Lucknow,9068757102
3079,Customer 44,Others,27,1,Lucknow,9984807607
3080,Customer 45,Others,46,1,Bhopal,9207583932
3081,Customer 46,Female,31,2,Guwahati,9829063891
3082,Customer 47,Male,29,5,Lucknow,9341972700
3083,Customer 48,Male,71,4,Mumbai,9066708950
3084,Customer 49,Male,71,5,Guwahati,9855389602
3085,Customer 50,Male,74,5,Lucknow,9592377914
3086,Customer 51,Female,38,2,Bengaluru,9197946518
3087,Customer 52,Female,66,6,Kolkata,9711997848
3088,Customer 53,Others,62,3,Mumbai,9309032949
3089,Customer 54,Female,20,5,Guwahati,9297558581
3090,Customer 55,Female,36,6,Lucknow,9021384162
3091,Customer 56,Female,24,5,Bengaluru,9445571118
3092,Customer 57,Female,42,4,Kolkata,9620432921
3093,Customer 58,Male,59,5,Bengaluru,9197790621
3094,Customer 59,Female,51,1,Lucknow,9914341043
3095,Customer 60,Female,26,4,Bhopal,9525742965
3096,Customer 61,Male,73,6,Guwahati,9372430969
3097,Customer 62,Female,53,2,Bhopal,9409619430
3098,Customer 63,Female,67,1,Mumbai,9910062616
3099,Customer 64,Male,72,3,Kolkata,9340406258
3100,Customer 65,Female,30,1,Bhopal,9436427291
3101,Customer 66,Male,38,2,Kolkata,9534982535
3102,Customer 67,Male,48,3,Bengaluru,9413304781
3103,Customer 68,Male,29,5,Bengaluru,9891136795
3104,Customer 69,Female,62,1,Mumbai,9022561782
3105,Customer 70,Male,46,3,Lucknow,9844895343
3106,Customer 71,Others,33,2,Guwahati,9200144644
3107,Customer 72,Female,35,3,Bengaluru,9551451938
3108,Customer 73,Female,64,2,Mumbai,9132302054
3109,Customer 74,Male,30,6,Kolkata,9684864445
3110,Customer 75,Male,48,6,Lucknow,9150909409
3111,Customer 76,Male,67,1,Bhopal,9423367624
3112,Customer 77,Female,27,5,Kolkata,9198911626
3113,Customer 78,Female,61,4,Bengaluru,9212962903
3114,Customer 79,Others,21,5,Bengaluru,9519318627
3115,Customer 80,Others,72,3,Guwahati,9534130685
3116,Customer 81,Female,35,2,Kolkata,9892606181
3117,Customer 82,Others,22,3,Kolkata,9744151534
3118,Customer 83,Male,29,3,Bhopal,9296468239
3119,Customer 84,Others,64,5,Mumbai,9949425563
3120,Customer 85,Female,46,4,Lucknow,9901789540
3121,Customer 86,Male,61,5,Bhopal,9894540656
3122,Customer 87,Female,19,4,Mumbai,9586058882
3123,Customer 88,Male,21,5,Guwahati,9671280448
3124,Customer 89,Male,58,1,Guwahati,9750391624
3125,Customer 90,Others,37,5,Bengaluru,9691246848
3126,Customer 91,Male,26,5,Bhopal,9392704001
3127,Customer 92,Male,63,1,Bhopal,9725592934
3128,Customer 93,Others,56,4,Guwahati,9507516552
3129,Customer 94,Female,71,5,Lucknow,9239511907
3130,Customer 95,Male,25,6,Lucknow,9587274874
3131,Customer 96,Male,28,6,Bhopal,9651740855
3132,Customer 97,Female,40,3,Mumbai,9605920916
3133,Customer 98,Female,73,2,Mumbai,9135930081
3134,Customer 99,Others,74,4,Bengaluru,9743925406
3135,Customer 100,Male,63,2,Bengaluru,9152369550
3136,Customer 101,Male,70,1,Guwahati,9713587277
3137,Customer 102,Others,65,2,Mumbai,9279429251
3138,Customer 103,Male,39,4,Guwahati,9248382216
3139,Customer 104,Female,26,3,Lucknow,9444838949
3140,Customer 105,Others,28,2,Mumbai,9883446533
3141,Customer 106,Female,72,1,Lucknow,9505910728
3142,Customer 107,Male,42,6,Bengaluru,9454415060
3143,Customer 108,Others,51,3,Mumbai,9535247707
3144,Customer 109,Male,52,3,Lucknow,9623847717
3145,Customer 110,Female,64,5,Mumbai,9255752547
3146,Customer 111,Male,53,1,Mumbai,9765114215
3147,Customer 112,Female,18,6,Bengaluru,9749095835
3148,Customer 113,Female,54,3,Kolkata,9241463330
3149,Customer 114,Others,50,2,Bengaluru,9540415188
3150,Customer 115,Others,26,1,Guwahati,9756869125
3151,Customer 116,Others,36,1,Lucknow,9663601066
3152,Customer 117,Male,32,1,Kolkata,9205765375
3153,Customer 118,Female,25,1,Kolkata,9011516111
3154,Customer 119,Others,53,1,Bengaluru,9704146688
3155,Customer 120,Others,75,4,Kolkata,9400788290
3156,Customer 121,Female,57,3,Mumbai,9115555605
3157,Customer 122,Male,33,5,Mumbai,9397313565
3158,Customer 123,Male,24,6,Lucknow,9332701705
